timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-02 03:00:00,88.936,844.071,821.866,208.531,65.447,283.23,146.494,296.221,74.78,470.62,43.581,286.816,403.274,46.328,920.813,1042.675,87.521,209.467,44.723,79.064,271.932,159.399,206.582,571.888
2018-01-02 04:00:00,94.229,871.555,843.631,216.301,70.35,287.867,147.307,310.247,80.2,494.489,43.974,293.903,423.548,47.972,961.718,1053.852,89.633,212.117,45.42,82.457,272.478,164.183,213.991,584.382
2018-01-02 05:00:00,100.183,884.998,860.578,214.729,72.08,296.408,154.582,326.825,81.483,510.687,44.799,300.757,432.786,48.298,986.335,1077.929,92.824,218.384,45.426,82.677,284.542,166.563,215.033,603.734
2018-01-02 06:00:00,104.622,921.406,881.906,230.656,69.77,306.547,168.206,328.425,79.901,524.188,45.841,321.698,460.435,49.709,1022.384,1119.835,99.732,241.068,47.967,86.083,304.546,171.072,225.838,623.659
2018-01-02 07:00:00,106.915,902.874,849.423,238.702,67.273,308.4,164.905,324.218,79.541,526.028,49.431,306.958,452.651,50.534,1037.127,1141.839,105.151,249.457,50.278,92.313,314.292,173.542,229.559,603.937
2018-01-02 08:00:00,101.781,863.139,813.22,218.916,63.394,305.381,149.152,289.72,76.896,488.554,50.694,290.095,425.804,47.147,999.447,1088.435,100.085,229.457,42.871,88.588,300.344,156.598,223.887,576.45
2018-01-02 09:00:00,91.222,788.982,745.361,184.974,55.87,281.596,138.107,249.443,71.367,452.086,49.266,270.228,395.637,42.152,918.299,973.22,97.942,192.005,33.518,80.357,292.931,132.379,200.393,539.516
2018-01-02 10:00:00,80.394,698.988,665.468,157.53,50.48,263.446,123.497,223.005,64.093,403.127,46.154,239.775,355.723,39.076,847.608,887.704,91.903,173.436,28.39,74.072,268.04,120.629,177.105,484.27
2018-01-02 11:00:00,70.365,606.378,578.854,138.963,48.343,248.343,108.636,202.246,54.316,352.669,43.197,206.694,301.797,34.723,745.544,816.652,81.619,152.784,27.246,66.254,231.896,107.43,154.32,420.686
2018-01-02 12:00:00,62.594,576.666,555.034,126.491,43.173,229.103,96.78,181.029,47.724,308.327,40.306,196.339,281.495,31.507,634.444,752.151,73.789,140.023,25.802,59.65,208.721,96.111,132.824,407.432
