timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-02 03:00:00,0.028,0.447,3.872,0.074,0.001,0.638,0.051,0.081,0.373,0.977,0.138,0.323,1.572,0.0,4.077,1.193,0.005,0.028,0.0,0.251,0.571,0.077,0.16,5.636
2018-01-02 04:00:00,0.027,0.411,3.881,0.05,0.002,0.637,0.046,0.08,0.372,0.993,0.137,0.298,1.528,0.001,4.076,1.223,0.004,0.04,0.0,0.246,0.543,0.077,0.145,5.653
2018-01-02 05:00:00,0.029,0.426,3.911,0.047,0.001,0.632,0.043,0.079,0.372,1.002,0.138,0.297,1.632,0.002,4.406,1.289,0.001,0.029,0.0,0.249,0.65,0.082,0.149,5.802
2018-01-02 06:00:00,0.026,0.474,3.951,0.046,0.001,0.628,0.045,0.081,0.372,1.039,0.136,0.303,1.631,0.012,4.713,1.379,0.0,0.03,0.0,0.276,0.68,0.111,0.134,6.159
2018-01-02 07:00:00,0.029,0.551,4.153,0.044,0.0,0.694,0.043,0.081,0.38,1.143,0.138,0.343,1.72,0.015,5.465,1.537,0.0,0.047,0.0,0.294,0.348,0.122,0.145,6.53
2018-01-02 08:00:00,0.036,0.559,4.261,0.043,0.0,0.687,0.044,0.068,0.362,1.267,0.141,0.364,1.769,0.017,5.998,1.763,0.0,0.043,0.005,0.354,0.353,0.146,0.151,7.472
2018-01-02 09:00:00,0.073,0.646,4.836,0.045,0.002,0.788,0.043,0.121,0.512,1.377,0.135,0.435,1.855,0.02,6.774,2.497,0.0,0.093,0.0,0.414,0.406,0.163,0.203,9.485
2018-01-02 10:00:00,0.099,0.761,5.471,0.052,0.041,0.905,0.027,0.261,0.671,1.454,0.133,0.584,2.046,0.024,7.479,3.036,0.0,0.134,0.0,0.512,0.438,0.206,0.204,10.916
2018-01-02 11:00:00,0.108,0.973,6.254,0.082,0.01,1.073,0.019,0.3,0.778,1.589,0.126,0.697,2.316,0.03,8.685,3.374,0.0,0.242,0.0,0.532,0.528,0.22,0.272,11.932
2018-01-02 12:00:00,0.118,0.963,6.635,0.103,0.02,1.131,0.045,0.39,0.5,1.666,0.105,0.788,2.448,0.038,10.192,3.695,0.0,0.312,0.0,0.546,0.731,0.268,0.285,12.395
