timestamp,9yspx2,9yu1rs,9zh0zh,9y9gf2,9ycfbm,9ysx3e,9zh496,9yenuk,9yg3cu,9yee3g,9yse3w,9xpdm5,9y95bd,9yfzuf,9z48dh,9ygct8,9y97t2,9ye5u6,9yst3e,9z0d3f,9yfvj5,9zh66g,9yujr8,9y9rs2,9yet1f,9ycm7u,9yfhjm,9yb27w,9y8yrh,9yu5rg,9ygjvu,9ybt3k,9ybzzh,9wxvwg,9y8wdp,9wzdgm,9yex3z,9wz85s,9yd783,9yf8qy,9y8m8k,9ybbwv,9z5bhn,9yupjx,9z44kc,9yut4q,9wzbns,9ydjws,9y9mst,9ys5x6,9ybdcv,9yuqvq,9yfnjh,9yu93v,9ybj65,9ygdgb,9yfd3v,9yffnr,9z567d,9y8euk,9yue6h,9z40j5,9yegt6,9ygk0d,9wxee3,9z5dr7,9ysjxn,9ybfyt,9z0fqd,9yggyh,9yczb7,9yfw9u,9yc3jy,9z1676,9z52pc,9y9y1j,9z047f,9ydrbh,9z4d9f,9yf4jk,9ygpwb,9ycrgf,9yc7hj,9ycv2k,9yfs9v,9yb4zv,9ydwq5,9y878b,9ygyj5,9ybxf7,9wzxv7,9z1f24,9ycb3s,9wxtew,9wxgwk,9ydev6,9ybpgu,9ybvrt,9ygtdg,9wztkn,9z4fq9,9wzfvv,9yevtm,9yezsc,9yuwe8
2018-01-01 10:00:00,47.781,12.195,21.198,7.389,25.537,11.49,13.291,65.596,3.487,4.515,30.599,6.043,3.409,17.105,2.764,26.947,0.712,38.537,59.184,0.08,13.096,9.583,126.387,0.106,7.576,19.563,3.864,27.073,18.027,75.009,56.341,4.289,4.111,7.176,5.641,6.211,4.191,0.165,2.035,38.758,1.163,0.039,10.621,7.646,2.748,579.329,0.153,7.133,6.399,30.679,1.769,121.214,7.612,12.223,9.123,41.889,24.929,13.021,15.736,14.378,75.311,6.146,31.407,8.807,0.071,6.463,34.725,0.052,0.878,35.507,2.165,4.264,12.57,7.762,49.877,2.62,0.875,56.954,11.658,14.934,89.087,8.385,0.142,4.271,43.513,1.151,653.268,15.446,202.127,0.037,4.344,1.946,2.249,2.729,3.189,13.528,5.796,0.145,7.62,0.032,6.565,0.052,11.312,6.363,222.347
2018-01-01 11:00:00,40.582,11.201,18.866,6.018,20.29,10.296,12.155,55.645,2.959,3.826,27.751,7.798,3.118,15.867,2.242,25.222,0.632,35.015,52.922,0.072,10.683,8.801,117.818,0.105,11.376,18.944,3.49,23.281,16.784,69.128,45.712,4.047,4.132,5.854,4.711,5.49,3.516,0.143,1.659,35.634,1.158,0.041,9.843,6.83,2.399,540.502,0.127,6.283,5.959,27.97,1.594,113.225,6.548,11.427,9.438,35.873,22.757,11.441,14.335,12.21,68.813,5.358,28.754,6.376,0.066,6.73,29.419,0.048,0.841,32.892,1.696,3.729,11.991,7.917,46.681,1.469,0.835,45.892,11.644,12.427,75.928,7.801,0.124,4.251,39.241,1.099,581.075,15.654,174.361,0.034,4.015,1.852,1.712,2.316,2.874,10.753,6.318,0.134,7.382,0.03,6.21,0.053,9.909,4.492,210.274
2018-01-01 12:00:00,35.427,9.811,15.616,4.78,17.133,9.27,10.911,48.607,2.394,3.633,24.484,7.101,3.279,14.843,1.927,22.338,0.526,31.323,48.035,0.068,8.978,8.11,106.312,0.083,10.735,17.557,3.012,19.096,15.219,59.765,37.138,3.77,3.75,5.078,2.77,4.616,3.231,0.128,1.388,32.116,1.151,0.037,8.513,5.188,2.111,482.839,0.112,5.546,5.019,25.743,1.525,102.059,5.767,10.041,9.056,30.77,21.046,9.466,13.177,10.346,62.422,4.998,25.155,4.862,0.065,4.512,24.952,0.044,0.774,29.841,1.398,3.233,10.41,4.612,41.815,1.152,0.744,38.505,11.607,10.744,65.652,7.342,0.119,4.228,33.837,1.317,500.086,13.897,149.656,0.032,3.55,1.744,1.368,2.178,2.782,8.629,5.713,0.125,6.575,0.028,5.315,0.051,8.705,7.153,185.754
2018-01-01 13:00:00,35.79,10.063,11.41,3.799,15.888,8.153,11.316,42.205,1.998,2.924,20.618,5.775,2.82,13.993,1.626,19.681,0.378,28.389,42.769,0.063,7.771,6.952,95.457,0.072,8.812,16.927,2.513,15.583,13.983,52.666,31.2,3.481,3.667,4.398,2.086,3.999,3.298,0.113,1.241,28.528,1.144,0.031,7.056,4.039,1.897,411.101,0.105,4.778,4.08,25.395,1.471,93.303,5.186,8.618,8.586,26.945,20.05,7.469,13.397,12.374,55.224,4.167,22.308,3.755,0.063,3.751,21.351,0.038,0.75,26.103,1.87,2.878,8.988,3.249,35.578,0.921,0.617,33.382,11.311,9.528,57.713,7.378,0.109,4.143,31.002,1.041,441.347,12.619,134.775,0.03,3.166,1.638,1.101,1.828,2.451,7.396,6.089,0.115,5.606,0.027,5.066,0.048,7.601,6.13,164.244
2018-01-01 14:00:00,33.239,9.44,9.461,3.004,13.289,7.262,10.062,36.326,1.697,2.675,19.073,4.924,1.564,12.796,1.436,19.51,1.108,25.983,38.106,0.058,6.847,6.043,85.359,0.064,7.524,15.748,2.098,15.334,12.422,47.002,27.092,3.304,3.51,3.859,1.876,3.595,2.948,0.1,1.148,26.602,1.139,0.031,5.906,4.271,1.749,373.88,0.099,4.383,3.306,22.352,1.67,85.974,4.768,7.602,9.588,23.125,18.021,6.596,12.413,11.612,48.741,3.665,20.369,2.887,0.056,3.707,17.941,0.035,0.746,22.224,1.54,2.543,7.748,3.317,31.426,0.767,0.546,28.977,10.275,8.113,50.399,7.22,0.101,3.777,28.981,1.029,387.252,12.094,120.456,0.027,2.908,1.551,0.873,1.562,2.201,6.6,5.42,0.109,5.038,0.025,4.415,0.046,6.768,2.776,143.903
2018-01-01 15:00:00,27.874,6.794,8.928,2.727,10.813,6.718,8.589,32.893,1.475,2.145,17.647,4.279,1.018,11.174,1.267,11.087,1.226,23.877,34.885,0.054,6.248,5.214,76.51,0.054,6.475,14.494,1.644,13.844,9.681,41.833,25.138,3.16,3.284,3.353,1.736,3.131,2.569,0.094,1.06,24.283,1.135,0.027,4.532,3.741,1.587,341.016,0.089,4.215,2.972,19.669,1.464,76.543,4.341,6.745,9.394,20.382,14.679,5.892,10.995,10.143,45.093,3.583,18.526,2.14,0.045,3.372,15.04,0.035,0.73,19.53,0.815,2.155,6.679,3.252,27.623,0.663,0.83,25.778,9.065,7.669,46.726,6.031,0.092,3.554,26.324,1.1,337.914,10.415,101.334,0.028,2.68,1.502,1.392,1.379,2.105,6.291,3.596,0.087,4.49,0.024,3.833,0.044,5.691,1.961,133.307
2018-01-01 16:00:00,25.561,6.832,8.473,2.683,10.339,7.095,7.949,31.345,1.353,2.592,16.229,3.697,1.054,10.581,1.286,9.852,0.847,22.722,32.72,0.052,5.659,4.634,69.28,0.048,5.664,13.779,1.567,12.721,9.404,38.375,23.313,3.007,3.365,3.156,1.526,2.916,2.488,0.09,0.95,22.175,1.131,0.025,4.607,3.349,1.702,317.15,0.085,4.084,2.742,18.493,1.256,72.159,4.188,6.389,8.52,20.13,14.574,5.448,10.595,8.899,42.389,3.896,17.248,1.952,0.042,3.774,13.739,0.033,0.729,18.447,0.73,1.952,6.751,3.203,25.286,0.605,0.58,22.997,9.014,6.977,44.256,4.906,0.094,3.647,24.863,1.007,305.745,9.59,95.232,0.027,2.468,1.662,1.502,1.181,1.961,6.133,2.965,0.058,4.106,0.022,3.269,0.04,4.736,1.893,122.846
2018-01-01 17:00:00,25.208,6.976,8.539,2.583,10.608,7.442,8.372,31.447,1.478,2.434,16.44,3.366,1.256,10.378,1.465,11.083,0.691,23.725,32.746,0.056,5.828,4.665,69.886,0.048,5.188,14.467,1.833,12.628,9.97,38.521,22.961,2.915,3.123,2.898,1.589,3.059,2.683,0.096,0.867,21.986,1.13,0.025,4.414,3.674,1.797,308.922,0.095,4.355,3.011,18.12,1.177,75.501,4.166,6.156,7.517,19.511,15.358,5.177,10.494,8.758,41.443,4.098,17.243,2.161,0.041,4.028,13.578,0.037,0.739,18.94,0.781,1.744,6.786,3.199,28.355,0.634,0.576,24.249,8.937,6.934,44.816,5.321,0.105,3.831,24.416,3.566,310.605,9.66,102.543,0.027,2.488,1.508,1.598,1.092,2.049,5.883,2.846,0.064,4.113,0.022,3.204,0.036,4.715,2.167,119.018
2018-01-01 18:00:00,29.382,7.334,10.224,2.916,11.794,8.086,9.537,35.567,1.997,2.273,17.956,3.489,1.599,10.766,1.724,12.748,0.787,26.285,36.987,0.049,6.572,6.501,76.996,0.054,5.839,15.065,2.163,13.866,10.647,41.451,25.592,3.1,3.305,2.933,1.921,3.4,2.765,0.106,0.797,24.651,1.088,0.029,3.836,4.429,1.948,328.692,0.109,4.369,3.508,20.96,1.197,79.217,4.359,6.896,7.563,23.985,16.412,5.996,10.363,6.175,44.874,4.375,18.637,2.916,0.042,4.269,16.361,0.04,0.714,18.935,0.879,2.01,6.492,3.807,30.438,0.734,0.595,26.18,8.316,7.257,44.696,4.823,0.121,3.99,26.804,4.115,353.415,9.819,113.558,0.028,2.672,1.452,1.734,1.211,2.266,5.87,3.103,0.068,4.612,0.024,3.741,0.038,5.503,2.388,127.252
2018-01-01 19:00:00,32.22,7.921,11.44,3.778,13.502,8.427,10.231,39.965,2.236,2.582,19.878,3.527,1.904,7.607,2.114,12.439,0.798,27.885,40.887,0.053,7.208,7.927,81.474,0.06,7.183,15.371,2.301,14.175,11.512,44.586,27.413,3.358,3.833,4.604,2.254,3.742,2.957,0.115,0.977,26.305,1.061,0.031,2.985,4.883,2.006,349.12,0.129,4.663,4.12,23.949,1.22,83.95,4.429,7.765,7.957,26.07,17.53,7.167,10.808,6.129,49.834,4.807,20.89,3.61,0.04,4.336,19.393,0.04,0.697,20.127,1.191,1.863,6.895,3.395,31.401,0.69,0.618,27.811,6.754,7.723,48.145,4.738,0.135,4.183,27.026,3.007,383.947,10.421,122.041,0.029,2.772,1.46,1.829,1.393,2.357,6.138,3.619,0.077,5.464,0.025,4.149,0.045,6.941,2.785,134.375
